,p,q,prob_hide_friend,prob_interfriend_edge,DOT-VAR mean,DOT-VAR conf_mean,DOT-VAR conf_left,DOT-VAR conf_right,Combo-LP mean,Combo-LP conf_mean,Combo-LP conf_left,Combo-LP conf_right,DOT-LP mean,DOT-LP conf_mean,DOT-LP conf_left,DOT-LP conf_right,DOT-Combo mean,DOT-Combo conf_mean,DOT-Combo conf_left,DOT-Combo conf_right,VAR-LP mean,VAR-LP conf_mean,VAR-LP conf_left,VAR-LP conf_right,LP mean,LP conf_mean,LP conf_left,LP conf_right,Combo mean,Combo conf_mean,Combo conf_left,Combo conf_right,VAR mean,VAR conf_mean,VAR conf_left,VAR conf_right,DOT mean,DOT conf_mean,DOT conf_left,DOT conf_right
41,0.3,0.25,0.2,0.3,0.22,0.2182,0.15746483720281965,0.27893516279718034,0.3,0.29719999999999996,0.23401645783908592,0.360383542160914,0.28,0.27780000000000005,0.21754089280448974,0.33805910719551036,-0.02,-0.016200000000000003,-0.03261828249239244,0.00021828249239243258,0.06,0.05739999999999999,0.02482332122514635,0.08997667877485363,0.68,0.6725999999999999,0.6029348006534108,0.742265199346589,0.98,0.9795999999999999,0.9598050511493461,0.9993949488506537,0.74,0.7444,0.6832392282586297,0.8055607717413702,0.96,0.9643999999999999,0.9349273007683381,0.9938726992316618
42,0.3,0.3,0.2,0.3,0.04,0.0386,0.009859088393024133,0.06734091160697588,0.12,0.12319999999999999,0.07589503197337513,0.17050496802662485,0.12,0.12000000000000002,0.07413062023528116,0.16586937976471888,0.0,0.0,0.0,0.0,0.08,0.0852,0.04676876270532003,0.12363123729467997,0.88,0.875,0.827978728217965,0.922021271782035,1.0,1.0,1.0,1.0,0.96,0.9625999999999999,0.9355215953202556,0.9896784046797442,1.0,1.0,1.0,1.0
43,0.3,0.35,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,0.35,0.2,0.2,0.3,0.24,0.25500000000000006,0.20565428083409873,0.30434571916590136,0.26,0.26780000000000004,0.20609781203231126,0.3295021879676888,0.2,0.198,0.14414835192865497,0.2518516480713451,-0.06,-0.06799999999999999,-0.10321363372331802,-0.03278636627668197,-0.04,-0.04,-0.06785677655436824,-0.012143223445631762,0.72,0.732,0.6793882142481363,0.7846117857518636,0.98,0.9786,0.9595726512619336,0.9976273487380665,0.68,0.693,0.6341867361898695,0.7518132638101304,0.92,0.9198000000000002,0.879452013680978,0.9601479863190223
45,0.35,0.25,0.2,0.3,0.08,0.0876,0.04463210500850664,0.13056789499149335,0.08,0.079,0.043069511553556636,0.11493048844644337,0.08,0.074,0.035790053650914394,0.1122099463490856,0.0,0.0,0.0,0.0,0.0,0.00019999999999999998,-0.02610513257902344,0.026505132579023438,0.92,0.9216,0.8794877689975941,0.9637122310024059,1.0,1.0,1.0,1.0,0.92,0.9231999999999999,0.8882463163600743,0.9581536836399255,1.0,1.0,1.0,1.0
46,0.35,0.3,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,0.35,0.35,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,0.2,0.2,0.30000000000000004,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.8242,0.7700672003310378,0.8783327996689623,0.82,0.8270000000000001,0.7756677489291577,0.8783322510708425,0.82,0.8238000000000001,0.7759924692124767,0.8716075307875235,0.82,0.8247999999999999,0.7762926809646213,0.8733073190353784
49,0.2,0.25,0.30000000000000004,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.8256,0.7720776682122312,0.8791223317877688,0.82,0.8198000000000001,0.7602352453207437,0.8793647546792565,0.82,0.8194000000000001,0.7674419399900267,0.8713580600099735,0.82,0.8178,0.7571439203376941,0.8784560796623059
50,0.2,0.3,0.30000000000000004,0.3,0.06,0.05259999999999999,0.019415063658340385,0.0857849363416596,0.08,0.0802,0.042305937140496526,0.11809406285950347,0.06,0.0634,0.031393125738366764,0.09540687426163323,-0.02,-0.019000000000000003,-0.037411952639521975,-0.0005880473604780341,0.0,0.0,0.0,0.0,0.82,0.8195999999999999,0.7592689134856664,0.8799310865143334,0.9,0.9064000000000001,0.8706363312843888,0.9421636687156114,0.82,0.8138000000000001,0.764185889104006,0.8634141108959942,0.88,0.8846,0.8369466685319904,0.9322533314680097
51,0.2,0.35,0.30000000000000004,0.3,0.08,0.08719999999999999,0.0494089957794186,0.12499100422058138,0.16,0.16260000000000002,0.10458931132972134,0.22061068867027872,0.16,0.16560000000000002,0.11444689647733974,0.2167531035226603,0.0,0.0,0.0,0.0,0.08,0.0802,0.04075434117675304,0.11964565882324694,0.84,0.8402,0.7856843141838974,0.8947156858161025,1.0,1.0,1.0,1.0,0.92,0.9222,0.8839487255114291,0.9604512744885709,1.0,1.0,1.0,1.0
52,0.25,0.2,0.30000000000000004,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.7239999999999999,0.663933370329275,0.7840666296707247,0.72,0.7092,0.6449866057586114,0.7734133942413887,0.72,0.7163999999999998,0.6526266513345894,0.7801733486654102,0.72,0.7236,0.6625832809797184,0.7846167190202816
53,0.25,0.25,0.30000000000000004,0.3,0.02,0.0218,0.0013852994143925754,0.042214700585607424,0.12,0.1244,0.07121503971986065,0.17758496028013934,0.02,0.023000000000000003,0.00415855631858323,0.041841443681416776,-0.1,-0.10859999999999999,-0.15216650089231404,-0.06503349910768594,0.0,0.0,0.0,0.0,0.74,0.7418,0.682464007550223,0.8011359924497771,0.86,0.8561999999999999,0.807645288591116,0.9047547114088837,0.74,0.7322000000000002,0.6742417391565276,0.7901582608434727,0.76,0.767,0.7079153150131102,0.8260846849868898
